Descriptio	freq	token
Brown sandy loam	153	0
Brown sandy shale	359	0
Brown shale	5067	2
BROWN SHALE	283	2
Brown shale & coal	135	2
Brown silt	325	0
Brown siltstone	114	2
Brown silty clay	7197	0
BROWN SILTY CLAY	109	0
Brown silty clay dry	297	0
Brown silty clay moist	3558	0
Brown silty clay wet	1458	0
Brown silty sand	238	0
Brown silty sandy clay	835	0
Brown soil	352	0
Brown stone	604	2
Brown to grey clay	114	0
Brown to grey silty clay	106	0
Brown top soil	747	0
Brown topsoil	440	0
Brown with grey silty clay moist	151	0
Buckshot	136	0
C br/gy hard plastic	163	1
CALCRETE	686	2
Calcrete	560	2
"Calcrete, calcrete"	158	2
Capstone	178	1
Capstone.	126	1
Carbonaceous mudstone	684	2
Cavity	338	0
CAVITY	207	0
"Cavity, lost circulation"	157	0
Cement	386	5
Cemented gravel	200	0
Cemented sand	461	0
Cemented sand and gravel	104	0
Cemented sands	126	0
Chert	181	2
Chocolate clay	109	0
Clay	51355	0
CLAY	12223	0
Clay - 100%	309	0
"Clay - brown, good sorting"	109	0
Clay - unconsolidated	297	0
Clay - unconsolidated - brown clay.	176	0
Clay - unconsolidated - clay - 60% ; medium sand - 40%	187	0
"Clay - unconsolidated - clay - 60%, medium sand - 40%"	111	0
Clay - unconsolidated - clay - 70% ; medium sand - 30%	104	0
"Clay - unconsolidated - clay - 70%, medium sand - 30%"	115	0
Clay - unconsolidated - clay - 80% ; medium sand - 20%	212	0
"Clay - unconsolidated - clay - 80%, medium sand - 20%"	271	0
Clay - unconsolidated - clay - 90% ; fine sand - 10%	113	0
"Clay - unconsolidated - clay - 90%, medium sand - 10%"	196	0
Clay - unconsolidated - clay - 99%	636	0
"Clay - unconsolidated - clay - component: clay, sand."	155	0
Clay & basalt	404	0
Clay & gravel	543	0
Clay & limestone	204	0
Clay & rock	368	0
Clay & sand	449	0
CLAY & SAND	265	0
Clay & sandstone	118	0
CLAY & STONE	138	0
Clay & stone	113	0
Clay & stones	108	0
Clay and basalt	140	0
Clay and boulders	174	0
Clay and gravel	837	0
CLAY AND GRAVEL	157	0
CLAY AND LIMESTONE	196	0
Clay and limestone	175	0
Clay and rock	346	0
Clay and sand	630	0
CLAY AND SAND	311	0
Clay and sandstone	121	0
CLAY AND STONE	179	0
Clay and stone	101	0
Clay and stones	152	0
Clay band	205	0
Clay black	179	0
Clay bound gravel	353	0
Clay brown	1525	0
Clay dark grey	115	0
Clay gravel	116	0
Clay grey	1092	0
Clay grey brown	118	0
Clay light brown	111	0
Clay red	373	0
Clay sand	210	0
Clay sandy	897	0
Clay sandy brown	207	0
Clay silty	282	0
Clay silty brown	359	0
Clay volcanic	107	0
Clay white	234	0
Clay yellow	391	0
"Clay, basaltic"	247	0
"Clay, black"	175	0
"Clay, blue"	130	0
"Clay, brown"	2392	0
"Clay, brown & white"	248	0
"Clay, brown clay"	109	0
"Clay, brown sandy"	441	0
"Clay, brown sandy clay"	134	0
"Clay, brown, good sorting"	186	0
"Clay, brown, sandy"	262	0
"Clay, clay"	661	0
"Clay, gravel"	116	0
"Clay, grey"	650	0
"Clay, light brown"	108	0
"Clay, ligneous"	340	0
"Clay, orange"	121	0
